r2CAVeT7nISRY0iBmaz7ucXoGzmhTsfY,Cosa cՏ nel primo cerchio?,"Nel primo cerchio (nel dominio) ci sono4 elementi: mario, luisa, luigi, anna.figure{insiemi/esempio5.svg} element{#insieme-dominio--fill--#04ed00}","["" Cosa c e nel""]",2024- 4-22 18:42:11,typeEsempio5
Q54NGxv95KzZBHT-s63jnkinv4BbR0oC,Dal primo cerchio partono frecce da tutti gli elementi?,Non da tutti gli elementi del primo cerchio parte una freccia.figure{insiemi/esempio5.svg} element{#insieme-dominio--fill--#04ed00},"["" Dal"",""partono frecce da"",""gli""]",2024- 4-23 18:4:4,typeEsempio5
Q54NGxv95KzZBHT-s63jnkinv4BbR0oC,Dal primo cerchio partono frecce da tutti gli elementi?,Non da tutti gli elementi del primo cerchio parte una freccia.figure{insiemi/esempio5.svg} element{#insieme-dominio--fill--#04ed00},"["" Dal"",""partono frecce da"",""gli""]",2024- 4-23 18:5:49,typeEsempio5
qhYIqK4G7DkbFllkqZkjUsxx_VKr3AwR,Dal primo cerchio partono frecce da tutti gli elementi?,Da tutti gli elementi del primo cerchio (nel dominio) parte almeno una freccia.figure{insiemi/esempio5.svg} element{#insieme-dominio--fill--#04ed00},"["" Dal"",""partono frecce da"",""gli""]",2024- 4-23 18:10:8,typeEsempio5
NxRNklMMusChQFAIaJlPtCcPMEaf4fiU,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia?,"No, ad alcuni elementi del secondo cerchio (nel codominio) non arriva nessuna una freccia, tra cui: 30.figure{insiemi/esempio5.svg} element{#insieme-codominio--fill--#04ed00}","["" A"",""gli"",""del"",""o codominio"",""almeno una""]",2024- 4-23 18:27:8,typeEsempio5
XcBSUlY478HRS2FygScrGGquVbwNCKMX,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia?,"No, ad alcuni elementi del secondo cerchio (nel codominio) non arriva nessuna una freccia, tra cui: 30.figure{insiemi/esempio5.svg} element{#insieme-codominio--fill--#04ed00}","["" A"",""gli"",""del"",""o codominio"",""almeno una""]",2024- 4-23 18:29:36,typeEsempio5
XcBSUlY478HRS2FygScrGGquVbwNCKMX,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia?,"No, ad alcuni elementi del secondo cerchio (nel codominio) non arriva nessuna una freccia, tra cui: 30.figure{insiemi/esempio5.svg} element{#insieme-codominio--fill--#04ed00}","["" A"",""gli"",""del"",""o codominio"",""almeno una""]",2024- 4-23 18:30:47,typeEsempio5
XcBSUlY478HRS2FygScrGGquVbwNCKMX,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia?,"No, ad alcuni elementi del secondo cerchio (nel codominio) non arriva nessuna una freccia, tra cui: 30.figure{insiemi/esempio5.svg} element{#insieme-codominio--fill--#04ed00}","["" A"",""gli"",""del"",""o codominio"",""almeno una""]",2024- 4-23 18:30:52,typeEsempio5
XcBSUlY478HRS2FygScrGGquVbwNCKMX,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia?,"No, ad alcuni elementi del secondo cerchio (nel codominio) non arriva nessuna una freccia, tra cui: 30.figure{insiemi/esempio5.svg} element{#insieme-codominio--fill--#04ed00}","["" A"",""gli"",""del"",""o codominio"",""almeno una""]",2024- 4-23 18:31:12,typeEsempio5
WTJUINkeBLt4PdknHjGK9w1qq6E6D4cP,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia?,Ad ogni elemento del secondo cerchio (nel codominio) arriva almeno una freccia.figure{insiemi/esempio5.svg} element{#insieme-codominio--fill--#04ed00},"["" A"",""gli"",""del"",""o codominio"",""almeno una""]",2024- 4-23 18:35:42,typeEsempio5
